Размещение на сайте;Название;Цена минус 5%;oldPrice;Цена;discauntPrice;Фотографии;Описание;Артикул;Цвет;Мощность (Ватт);Напряжение (Вольт);Цветовая температура (К);Срок службы (Час);Размеры мм (длина * толщина);Модель;Цоколь
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/1a2/1a245dcce76afe5c725200c14a7fd2a2.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887259;;6;220;4000;30000;68x45;;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;98.8;;104;;http://svetonik.ru/upload/iblock/61d/61d0b6825c687971309da6de62637e98.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10887241;;6;220;2700;30000;68x45;;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/890/89053073f7dfe0c7ce20260c9323e20c.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886794;;6;220;4000;30000;78x45;;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  6,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;96.89999999999999;;102;;http://svetonik.ru/upload/iblock/581/581036c6b877ced4fe37b5cdf2847792.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";10886757;;6;220;2700;30000;78x45;;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/aed/aed9cca7cddf8acbb99a329354d5ac6c.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544416;;5;220;4000;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 68х45;57.0;;60;;http://svetonik.ru/upload/iblock/287/2874f127570de7472772816051857b01.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544412;;5;220;2700;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E14 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/666/666dced9228528bb30cdee9ae2d4bd11.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544368;;5;220;4000;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED Premium  5,0W G45 220V E14 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W, КП=0) 78х45;62.699999999999996;;66;;http://svetonik.ru/upload/iblock/b1a/b1aac5e41ccbeb22bec6059a7dbbb3f4.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9544357;;5;220;2700;30000;78x45;Filament;E14
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E27 4000K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;63.65;;67;;http://svetonik.ru/upload/iblock/880/880d8417a14be1497924767290042822.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474212;;5;220;4000;30000;68x45;Filament;E27
Каталог/Источники света/Лампы накаливания;Ecola globe   LED  5,0W G45 220V E27 2700K 360° filament прозр. нитевидный шар (Ra 80, 100 Lm/W) 68х45;59.849999999999994;;63;;http://svetonik.ru/upload/iblock/d57/d573db498c48c63b367bef779cab822c.png;"Лампа Ecola Филамент 360°
Классический дизайн лампы.
Идеально для всех открытых люстр, особенно для хрустальных или со стеклянными деталями.
Высокая светоотдача.
Лампы имеют маркировку «360°» - свет идёт во все стороны.
";9474199;;5;220;2700;30000;68x45;Filament;E27
